,x,y,problem_type,seed,rank,response,Misconception_Label,Misc_explanation,Misc_group
1,-4.7624,-2.7135,Missing addend or subtrahend,xec091daddd2f473e,3,5-Feb,5,NA,NA
2,1.0665,-8.5371,Missing addend or subtrahend,x5e05459b716823dc,13,2-Apr,8,NA,NA
3,-9.0721,0.49917,Missing addend or subtrahend,x0723ebff11fe9f1e,5,4-Mar,5,NA,NA
4,1.1971,7.7208,Missing addend or subtrahend,x89940fa3efa9d021,7,1-Jan,5,NA,NA
5,-10.025,-8.8938,Missing addend or subtrahend,x9eb10145c9a28389,13,6-Jan,10,NA,NA
6,4.055,-2.2796,Missing addend or subtrahend,xec091daddd2f473e,2,10-Apr,8,NA,NA
7,-11.153,10.036,Missing addend or subtrahend,xcda896bb81fe2ff6,19,2-Jan,3,NA,NA
8,1.1485,-8.586,Missing addend or subtrahend,x5e05459b716823dc,1,3-Apr,8,NA,NA
9,4.2029,-1.9176,Missing addend or subtrahend,x0723ebff11fe9f1e,15,3-Sep,8,NA,NA
10,1.2361,7.6145,Missing addend or subtrahend,xcfe60746de3b7302,3,4-Mar,10,NA,NA
11,8.0654,0.22745,Missing addend or subtrahend,xec091daddd2f473e,16,2,3,NA,NA
12,2.9431,0.84418,Missing addend or subtrahend,x754b256f7842b551,12,3-Jan,11,NA,NA
13,3.6972,13.966,Missing addend or subtrahend,x9eb10145c9a28389,7,4-Jul,2,NA,NA
14,-0.090606,9.3939,Missing addend or subtrahend,x0723ebff11fe9f1e,2,19/12,5,Incorrect balance of eqs to solve for x,operation_mistake
15,0.054427,-3.2339,Missing addend or subtrahend,xec091daddd2f473e,15,May-50,3,NA,NA
16,5.8871,-2.6635,Missing addend or subtrahend,xcfe60746de3b7302,10,4-Jul,2,NA,NA
17,-3.6734,6.2354,Missing addend or subtrahend,x754b256f7842b551,19,4-May,3,NA,NA
18,12.707,-1.939,Missing addend or subtrahend,xcfe60746de3b7302,1,6-Jun,6,NA,NA
19,2.7555,4.846,Missing addend or subtrahend,x9eb10145c9a28389,2,4-Jun,5,NA,NA
20,6.1503,13.595,Missing addend or subtrahend,x0723ebff11fe9f1e,4,4-Sep,5,NA,NA
21,-5.9335,-0.5985,Missing addend or subtrahend,x5e05459b716823dc,2,6-Aug,5,NA,NA
22,9.0519,1.1239,Missing addend or subtrahend,xcda896bb81fe2ff6,3,6-Feb,11,NA,NA
23,-10.582,-7.7494,Missing addend or subtrahend,xec091daddd2f473e,misc,misc,misc,NA,NA
24,8.2826,-1.7064,Missing addend or subtrahend,xcda896bb81fe2ff6,2,3-Jan,11,NA,NA
