"","x","y","problem_type","seed","rank","response","Misconception_Label","Misc_explanation","Misc_group"
"1",-1.9982,-1.9054,"3 addends and subtrahends","x6e3c33de7bafd5db","misc","misc",NA,NA,NA
"2",11.078,6.545,"3 addends and subtrahends","xe1c2fed1e0f550f2","17","3/5",NA,NA,NA
"3",-9.2179,-9.0456,"3 addends and subtrahends","x08e5ddfdd57101ea","6","17/10",NA,NA,NA
"4",-7.4664,7.3498,"3 addends and subtrahends","xd5f79d461539fde9","4","1",NA,NA,NA
"5",12.815,1.2966,"3 addends and subtrahends","xb02695c7e65b17f7","20","5/6",NA,NA,NA
"6",4.7896,12.628,"3 addends and subtrahends","x4361b1442f0223d5","20","17/10",NA,NA,NA
"7",-5.2226,1.3813,"3 addends and subtrahends","x6e3c33de7bafd5db","6","46/18",NA,NA,NA
"8",-5.6948,7.7676,"3 addends and subtrahends","x9ad8fd937dc5389c","4","1/4",NA,NA,NA
"9",5.0755,3.4365,"3 addends and subtrahends","xe1c2fed1e0f550f2","2","11/10",NA,NA,NA
"10",-11.218,4.7449,"3 addends and subtrahends","x4361b1442f0223d5","16","8",NA,NA,NA
"11",-0.24033,-8.4241,"3 addends and subtrahends","x4361b1442f0223d5","2","9/5",NA,NA,NA
"12",0.66401,10.817,"3 addends and subtrahends","x2f73ab62fa6a1669","7","2/7",NA,NA,NA
"13",-6.2005,-3.6032,"3 addends and subtrahends","xb02695c7e65b17f7","2","1/18",NA,NA,NA
"14",-2.4452,-3.3594,"3 addends and subtrahends","x08e5ddfdd57101ea","9","8/11",NA,NA,NA
"15",1.9383,-1.4024,"3 addends and subtrahends","xb02695c7e65b17f7","13","4/9",NA,NA,NA
"16",-6.8951,7.3503,"3 addends and subtrahends","x952417b53cc6cff1","1","9/4",NA,NA,NA
"17",0.68677,-3.8556,"3 addends and subtrahends","x08e5ddfdd57101ea","10","8/20",NA,NA,NA
"18",-4.9606,1.2419,"3 addends and subtrahends","x335cc71dcece5fb7","8","5",NA,NA,NA
"19",-4.3351,2.7655,"3 addends and subtrahends","x6e3c33de7bafd5db","3","1/2",NA,NA,NA
"20",5.4427,12.499,"3 addends and subtrahends","x2f73ab62fa6a1669","5","1/3",NA,NA,NA
"21",5.8709,7.506,"3 addends and subtrahends","xb02695c7e65b17f7","14","9/18",NA,NA,NA
"22",-5.6036,3.6309,"3 addends and subtrahends","x335cc71dcece5fb7","7","7/12",NA,NA,NA
"23",8.7963,0.82753,"3 addends and subtrahends","x952417b53cc6cff1","13","11/12",NA,NA,NA
"24",-3.3585,-3.1671,"3 addends and subtrahends","x4361b1442f0223d5","6","9/13",NA,NA,NA
"25",-14.163,3.4947,"3 addends and subtrahends","x335cc71dcece5fb7","3","25/12",2,"Not follow directions; add all fracs","operation_mistake"
"26",8.8266,5.8997,"3 addends and subtrahends","x9ad8fd937dc5389c","8","3/8",NA,NA,NA
"27",1.1817,4.9223,"3 addends and subtrahends","x6e3c33de7bafd5db","10","13/18",NA,NA,NA
"28",9.6295,0.85749,"3 addends and subtrahends","x2f73ab62fa6a1669","3","2/12",NA,NA,NA
"29",-7.9458,-2.0316,"3 addends and subtrahends","x08e5ddfdd57101ea","12","17",NA,NA,NA
"30",-0.74971,1.1341,"3 addends and subtrahends","x08e5ddfdd57101ea","7","19/20",NA,NA,NA
"31",4.5852,-12.469,"3 addends and subtrahends","x08e5ddfdd57101ea","misc","misc",NA,NA,NA
"32",-10.747,0.68446,"3 addends and subtrahends","x4361b1442f0223d5","1","18/10",2,"Not follow directions; add all fracs","operation_mistake"
"33",-1.9771,11.727,"3 addends and subtrahends","x2f73ab62fa6a1669","15","3/4",NA,NA,NA
"34",5.6743,-2.9495,"3 addends and subtrahends","x952417b53cc6cff1","17","26/12",NA,NA,NA
"35",3.1161,7.5758,"3 addends and subtrahends","x2f73ab62fa6a1669","20","2/3",NA,NA,NA
"36",1.2215,-10.154,"3 addends and subtrahends","x4361b1442f0223d5","14","13/10",NA,NA,NA
"37",-14.091,-4.1709,"3 addends and subtrahends","x08e5ddfdd57101ea","13","7/20",NA,NA,NA
"38",1.0863,-4.7375,"3 addends and subtrahends","x2f73ab62fa6a1669","2","1/6",NA,NA,NA
"39",-2.7967,-2.5342,"3 addends and subtrahends","x9ad8fd937dc5389c","6","9/8",NA,NA,NA
"40",-3.5154,-7.7064,"3 addends and subtrahends","x6e3c33de7bafd5db","4","2/9",NA,NA,NA
"41",6.4082,-4.3896,"3 addends and subtrahends","x6e3c33de7bafd5db","8","2/3",NA,NA,NA
"42",-10.374,-9.2891,"3 addends and subtrahends","x952417b53cc6cff1","12","2",NA,NA,NA
"43",-9.3895,-4.7492,"3 addends and subtrahends","xd5f79d461539fde9","6","5/6",NA,NA,NA
"44",-12.221,-3.5195,"3 addends and subtrahends","x952417b53cc6cff1","15","5/4",NA,NA,NA
"45",-3.5276,1.2593,"3 addends and subtrahends","xb02695c7e65b17f7","misc","misc",NA,NA,NA
"46",6.852,1.096,"3 addends and subtrahends","x2f73ab62fa6a1669","4","7/12",NA,NA,NA
"47",12.772,-1.2478,"3 addends and subtrahends","x2f73ab62fa6a1669","9","38/24",NA,NA,NA
"48",-5.1714,-8.2927,"3 addends and subtrahends","x4361b1442f0223d5","17","5/10",NA,NA,NA
"49",9.3636,-6.473,"3 addends and subtrahends","xb02695c7e65b17f7","19","4/3",NA,NA,NA
"50",3.6514,12.834,"3 addends and subtrahends","x952417b53cc6cff1","misc","misc",NA,NA,NA
"51",0.66635,1.0051,"3 addends and subtrahends","xe1c2fed1e0f550f2","9","1/10",NA,NA,NA
"52",4.1637,-8.3033,"3 addends and subtrahends","x6e3c33de7bafd5db","11","23/9",NA,NA,NA
"53",-1.0603,-13.456,"3 addends and subtrahends","xe1c2fed1e0f550f2","13","1",NA,NA,NA
"54",-3.7975,-13.248,"3 addends and subtrahends","x335cc71dcece5fb7","17","10/12",NA,NA,NA
"55",4.2674,7.7022,"3 addends and subtrahends","x2f73ab62fa6a1669","8","5/12",NA,NA,NA
"56",3.0307,7.5931,"3 addends and subtrahends","x4361b1442f0223d5","3","7/10",NA,NA,NA
"57",6.0503,14.024,"3 addends and subtrahends","x9ad8fd937dc5389c","misc","misc",NA,NA,NA
"58",4.9275,11.569,"3 addends and subtrahends","xd5f79d461539fde9","misc","misc",NA,NA,NA
"59",2.6876,2.2159,"3 addends and subtrahends","xe1c2fed1e0f550f2","16","3/20",NA,NA,NA
"60",5.3595,-4.5345,"3 addends and subtrahends","x6e3c33de7bafd5db","17","3/18",NA,NA,NA
"61",-3.3154,-8.4305,"3 addends and subtrahends","x2f73ab62fa6a1669","16","11/12",NA,NA,NA
"62",-5.4594,-3.5998,"3 addends and subtrahends","x9ad8fd937dc5389c","7","1/2",NA,NA,NA
"63",1.1219,6.7951,"3 addends and subtrahends","x08e5ddfdd57101ea","19","15/20",NA,NA,NA
"64",-7.5662,8.102,"3 addends and subtrahends","xd5f79d461539fde9","12","6/6",NA,NA,NA
"65",-11.569,-8.3823,"3 addends and subtrahends","x952417b53cc6cff1","3","10/13",NA,NA,NA
"66",-10.497,-0.67049,"3 addends and subtrahends","x952417b53cc6cff1","20","19/12",NA,NA,NA
"67",4.0951,-7.5997,"3 addends and subtrahends","x335cc71dcece5fb7","2","1/4",NA,NA,NA
"68",7.3743,4.7427,"3 addends and subtrahends","xd5f79d461539fde9","9","7/12",NA,NA,NA
"69",-8.6794,-4.3581,"3 addends and subtrahends","x335cc71dcece5fb7","11","6/12",NA,NA,NA
"70",8.493,8.1251,"3 addends and subtrahends","xd5f79d461539fde9","13","8/6",NA,NA,NA
"71",-8.85,7.9955,"3 addends and subtrahends","x2f73ab62fa6a1669","6","1/12",NA,NA,NA
"72",-3.7598,-9.3482,"3 addends and subtrahends","xb02695c7e65b17f7","11","2/9",NA,NA,NA
"73",4.9197,4.4224,"3 addends and subtrahends","x2f73ab62fa6a1669","17","-1/12",NA,NA,NA
"74",0.68144,2.1043,"3 addends and subtrahends","x335cc71dcece5fb7","6","1/2",NA,NA,NA
"75",-9.0476,8.7914,"3 addends and subtrahends","x4361b1442f0223d5","misc","misc",NA,NA,NA
